state,year_or_session,bill_code,legiscan_title,download_link,filename,empath_environment,empath_energy,empath_social,empath_governance,empath_immigration
Iowa,83,HSB 742,Page Not Found,https://legiscan.com/353691/---Introduced.html,,0.0,0.0,0.0,0.0,0.0
Iowa,83,SSB 3258,Page Not Found,https://legiscan.com/353691/---Introduced.html,,0.0,0.0,0.0,0.0,0.0
Iowa,83,SSB 3251,Page Not Found,https://legiscan.com/353691/---Introduced.html,,0.0,0.0,0.0,0.0,0.0
Iowa,83,SSB 3254,Page Not Found,https://legiscan.com/353691/---Introduced.html,,0.0,0.0,0.0,0.0,0.0
Iowa,83,HSB 741,Page Not Found,https://legiscan.com/353691/---Introduced.html,,0.0,0.0,0.0,0.0,0.0
Iowa,83,HSB 739,Page Not Found,https://legiscan.com/353691/---Introduced.html,,0.0,0.0,0.0,0.0,0.0
Iowa,83,SSB 3253,Page Not Found,https://legiscan.com/353691/---Introduced.html,,0.0,0.0,0.0,0.0,0.0
Iowa,83,SSB 3252,Page Not Found,https://legiscan.com/353691/---Introduced.html,,0.0,0.0,0.0,0.0,0.0
Iowa,83,HSB 736,Page Not Found,https://legiscan.com/353691/---Introduced.html,,0.0,0.0,0.0,0.0,0.0
Iowa,83,SSB 3245,Page Not Found,https://legiscan.com/353691/---Introduced.html,,0.0,0.0,0.0,0.0,0.0
Iowa,83,HSB 738,Page Not Found,https://legiscan.com/353691/---Introduced.html,,0.0,0.0,0.0,0.0,0.0
Iowa,83,SSB 3250,Page Not Found,https://legiscan.com/353691/---Introduced.html,,0.0,0.0,0.0,0.0,0.0
Iowa,83,HSB 735,Page Not Found,https://legiscan.com/353691/---Introduced.html,,0.0,0.0,0.0,0.0,0.0
Iowa,83,SSB 3248,Page Not Found,https://legiscan.com/353691/---Introduced.html,,0.0,0.0,0.0,0.0,0.0
Iowa,83,HSB 737,Page Not Found,https://legiscan.com/353691/---Introduced.html,,0.0,0.0,0.0,0.0,0.0
Iowa,83,SSB 3239,Page Not Found,https://legiscan.com/353691/---Introduced.html,,0.0,0.0,0.0,0.0,0.0
Iowa,83,SSB 3243,Page Not Found,https://legiscan.com/353691/---Introduced.html,,0.0,0.0,0.0,0.0,0.0
Iowa,83,SSB 3246,Page Not Found,https://legiscan.com/353691/---Introduced.html,,0.0,0.0,0.0,0.0,0.0
Iowa,83,HSB 733,Page Not Found,https://legiscan.com/353691/---Introduced.html,,0.0,0.0,0.0,0.0,0.0
Iowa,83,SSB 3240,Page Not Found,https://legiscan.com/353691/---Introduced.html,,0.0,0.0,0.0,0.0,0.0
Iowa,83,SSB 3233,Page Not Found,https://legiscan.com/353691/---Introduced.html,,0.0,0.0,0.0,0.0,0.0
